MessageID,DestinationAddress,OriginatingAddress,MessageBody
1000,+447486672958,+447779791795,Good morning
1001,+447185617572,+447319312896,My phone is playi...
1005,+447286976648,+447862687975,Report submission...
1007,+447204699858,+447608360703,Urgent response n...
1008,+447864912045,+447446315275,Report submission...
1009,+447527735205,+447577154747,Where are you?
1010,+447544010112,+447893713077,Really. Where is ...
1011,+447486672958,+447779791795,Good morning
1012,+447185617572,+447319312896,Get me a few bric...
1013,+447939615868,+447432331608,Meeting rescheduled
1014,+447755963043,+447479808609,Wow that is amazing
1020,+447527735205,+447577154747,Where are you?
1021,+447544010112,+447893713077,Madness
1023,+447185617572,+447319312896,deadline
1024,+447939615868,+447432331608,Meeting rescheduled
1032,+447544010112,+447893713077,I got oasis tickets!
1033,+447486672958,+447779791795,Good morning
1034,+447185617572,+447319312896,Reminder for your
1042,+447527735205,+447577154747,Where are you?
1043,+447544010112,+447893713077,Well done you
1044,+447486672958,+447779791795,Good morning
1050,+447372097309,+447774904752,Your order has be...
1053,+447527735205,+447577154747,Where are you?
1055,+447486672958,+447779791795,Good morning
1056,+447185617572,+447319312896,www
1062,+447204699858,+447608360703,Urgent response n...
1066,+447486672958,+447779791795,Good morning
1067,+447185617572,+447319312896,www
1071,+447286976648,+447862687975,Report submission...
1073,+447204699858,+447608360703,Urgent response n...
1074,+447864912045,+447446315275,Report submission...
1075,+447527735205,+447577154747,Where are you?
1076,+447544010112,+447893713077,Daniel O Donnell ...
1077,+447486672958,+447779791795,Good morning
1078,+447185617572,+447319312896,should
1084,+447204699858,+447608360703,Urgent response n...
1085,+447864912045,+447446315275,Report submission...
1087,+447544010112,+447893713077,Fancy heading out...
1089,+447185617572,+447319312896,xxx
1090,+447939615868,+447432331608,Meeting rescheduled
1093,+447286976648,+447862687975,Morning sun is up
1095,+447204699858,+447608360703,Urgent response n...
1098,+447544010112,+447893713077,Belfast for a pint?
